PRIM2_COMMON,PRIM1_COMMON,STRAT_ID,PSU_ID,YEAR,REG_RES,ST_RES,CNTY_RES,ST,ID_CODE,AREA,HRSF,ADD_HRS,FFDAYS12,FFDAYS2,WAVE,SUB_REG,INTSITE,MODE_F,MODE_FX,CATCH,CNTRBTRS,PARTY,FIRST,NUM_TYP4,NUM_TYP6,NUM_TYP2,NUM_TYP3,AREA_X,ON_LIST,CNTY,BOAT_HRS,NUM_TYP9,TELEFON,COASTAL,KOD,ASG_CODE,MODE_ASG,NEW_LIST,PRT_CODE,CELLTYPE,REGION,STRAT_INTERVAL,ZIP,MONTH,FSHINSP_A,NUM_FISH_A,COUNTY,TIME,MODE2001,DIST,GEAR,TSN1,TSN2,PVT_RES,SEX,AGE,ART_REEF,ADD_PH,F_BY_P,SEP_FISH,DATE1,PRIM1,PRIM2,TURTLE,REEFCODE,AREA_NC,MUNI_RES,MUNI_TRP,WP_INT,VAR_ID,ARX_METHOD,ALT_FLAG,LEADER,DATE_PUBLISHED
,,2023021255wdS:8AM-8PM,2023112551592020230201,2023,0,99,997,12,1592020230201002,1,4.00,0.00,0,0,1,6,946,7,5,2,1,4,2,0,1,1,0,1,1,86,,,,O,wd,1592020230201,5,,1592020230201001,1,5,S:8AM-8PM,99997,02,0,2,,1212,7,1,1,,,,2,20,2,2,8,8,15AUG23:08:29,,,,,,,,168.98037413,2023021255wdS:8AM-8PM,,0,1592020230201002,03/03/2025
,,2023021255wdS:8AM-8PM,2023112551592020230201,2023,6,12,86,12,1592020230201003,1,4.00,0.00,0,0,1,6,946,7,5,1,6,6,1,0,0,2,8,1,1,86,,,,Y,wd,1592020230201,5,,1592020230201003,1,5,S:8AM-8PM,33160,02,8,0,MIAMI-DADE,1242,7,1,1,,,,1,35,1,2,2,2,15AUG23:08:29,,,,,,,,253.4705612,2023021255wdS:8AM-8PM,,0,1592020230201003,03/03/2025
,,2023021255wdS:8AM-8PM,2023112551592020230201,2023,6,12,86,12,1592020230201004,1,4.00,0.00,0,0,1,6,946,7,5,3,0,6,2,1,1,1,0,1,1,86,,,,Y,wd,1592020230201,5,,1592020230201003,1,5,S:8AM-8PM,99999,02,,,MIAMI-DADE,1242,7,1,1,,,,1,,1,2,8,8,15AUG23:08:29,,,,,,,,253.4705612,2023021255wdS:8AM-8PM,,0,1592020230201003,03/03/2025
,,2023021255weS:8AM-8PM,2023112551592020230217,2023,6,12,86,12,1592020230217006,1,2.50,0.00,32,8,1,6,3203,7,5,1,2,3,1,0,0,3,4,1,2,86,,,,Y,we,1592020230217,7,,1592020230217006,1,5,S:8AM-8PM,33140,02,4,0,MIAMI-DADE,1744,7,1,1,,,,1,10,2,2,2,2,15AUG23:08:29,,,,,,,,91.226966329,2023021255weS:8AM-8PM,,0,1592020230217006,03/03/2025
,,2023021255weS:8AM-8PM,2023112551592020230217,2023,6,12,86,12,1592020230217007,1,2.50,0.00,32,8,1,6,3203,7,5,3,0,3,2,1,1,2,0,1,2,86,,,,Y,we,1592020230217,7,,1592020230217006,1,5,S:8AM-8PM,99998,02,,,MIAMI-DADE,1747,7,1,1,,,,1,10,2,2,8,8,15AUG23:08:29,,,,,,,,91.226966329,2023021255weS:8AM-8PM,,0,1592020230217006,03/03/2025
,,2023021255weS:8AM-8PM,2023112551592020230217,2023,6,12,86,12,1592020230217008,1,2.50,,32,8,1,6,3203,7,5,2,1,3,2,0,1,0,0,1,2,86,,,,Y,we,1592020230217,7,,1592020230217006,,5,S:8AM-8PM,33140,02,,,MIAMI-DADE,1747,7,1,1,,,,1,50,2,2,8,8,15AUG23:08:29,,,,,,,,91.226966329,2023021255weS:8AM-8PM,,0,1592020230217008,03/03/2025
,,2023011255weS:8AM-8PM,2023112551592520230114,2023,6,12,99,12,1592520230114001,1,7.00,,0,0,1,6,278,7,5,2,1,3,1,0,0,0,0,1,1,99,,,,Y,we,1592520230114,7,,1592520230114001,,5,S:8AM-8PM,33467,01,,,PALM BEACH,1456,7,1,1,,,,1,32,2,2,8,8,15AUG23:08:29,,,,,,,,32.720523053,2023011255weS:8AM-8PM,,0,1592520230114001,03/03/2025
,,2023011255weS:8AM-8PM,2023112551592520230114,2023,6,12,99,12,1592520230114002,1,7.00,,0,0,1,6,278,7,5,2,1,3,2,0,1,0,0,1,1,99,,,,Y,we,1592520230114,7,,1592520230114001,,5,S:8AM-8PM,33467,01,,,PALM BEACH,1456,7,1,1,,,,1,29,2,2,8,8,15AUG23:08:29,,,,,,,,32.720523053,2023011255weS:8AM-8PM,,0,1592520230114002,03/03/2025
,,2023011255weS:8AM-8PM,2023112551592520230114,2023,6,12,99,12,1592520230114003,1,7.00,0.00,0,0,1,6,278,7,5,1,1,3,2,0,1,0,1,1,1,99,,,,Y,we,1592520230114,7,,1592520230114001,1,5,S:8AM-8PM,33467,01,1,0,PALM BEACH,1456,7,1,1,,,,1,31,2,1,1,8,15AUG23:08:29,,,,,,,,32.720523053,2023011255weS:8AM-8PM,,0,1592520230114003,03/03/2025
,,2023011255wdS:8AM-8PM,2023112551592520230119,2023,0,17,31,12,1592520230119001,1,4.00,0.00,1,0,1,6,8,7,5,1,2,4,1,0,0,0,2,1,1,99,,,,O,wd,1592520230119,5,,1592520230119001,1,5,S:8AM-8PM,60614,01,2,0,,1221,7,1,1,,,,1,30,2,2,2,2,15AUG23:08:29,,,,,,,,68.986384192,2023011255wdS:8AM-8PM,,0,1592520230119001,03/03/2025
,,2023011255wdS:8AM-8PM,2023112551592520230119,2023,0,17,97,12,1592520230119002,1,4.00,0.00,0,0,1,6,8,7,5,2,1,4,2,0,1,1,0,1,1,99,,,,O,wd,1592520230119,5,,1592520230119001,1,5,S:8AM-8PM,60035,01,0,1,,1235,7,1,1,,,,1,61,2,2,8,8,15AUG23:08:29,,,,,,,,68.986384192,2023011255wdS:8AM-8PM,,0,1592520230119002,03/03/2025
,,2023011255wdS:8AM-8PM,2023112551592520230119,2023,0,17,31,12,1592520230119003,1,4.00,,0,0,1,6,8,7,5,3,0,4,2,1,1,0,0,1,1,99,,,,O,wd,1592520230119,5,,1592520230119001,,5,S:8AM-8PM,60611,01,,,,1235,7,1,1,,,,1,63,2,2,8,8,15AUG23:08:29,,,,,,,,68.986384192,2023011255wdS:8AM-8PM,,0,1592520230119001,03/03/2025
,,2023011255wdS:8AM-8PM,2023112551592520230119,2023,0,17,31,12,1592520230119004,1,4.00,,0,0,1,6,8,7,5,2,1,4,2,0,1,0,0,1,1,99,,,,O,wd,1592520230119,5,,1592520230119001,,5,S:8AM-8PM,60091,01,,,,1235,7,1,1,,,,1,63,2,2,8,8,15AUG23:08:29,,,,,,,,68.986384192,2023011255wdS:8AM-8PM,,0,1592520230119004,03/03/2025
AMBERJACK GENUS,SAILFISH,2023021255wdS:8AM-8PM,2023112551592520230227,2023,6,12,85,12,1592520230227001,1,4.00,,0,0,1,6,99,7,5,2,1,5,1,0,0,0,0,1,1,99,,,,Y,wd,1592520230227,7,,1592520230227001,,5,S:8AM-8PM,34996,02,,,MARTIN,1208,7,1,1,172488,168688,,1,72,1,2,8,8,15AUG23:08:29,8850060101,8835280800,,,,,,64.753993109,2023021255wdS:8AM-8PM,,0,1592520230227001,03/03/2025
AMBERJACK GENUS,SAILFISH,2023021255wdS:8AM-8PM,2023112551592520230227,2023,5,42,91,12,1592520230227002,1,4.00,,0,0,1,6,99,7,5,2,1,5,2,0,1,0,0,1,1,99,,,,O,wd,1592520230227,7,,1592520230227001,,5,S:8AM-8PM,19002,02,,,,1208,7,1,1,172488,168688,,1,42,1,2,8,8,15AUG23:08:29,8850060101,8835280800,,,,,,64.753993109,2023021255wdS:8AM-8PM,,0,1592520230227002,03/03/2025
AMBERJACK GENUS,SAILFISH,2023021255wdS:8AM-8PM,2023112551592520230227,2023,5,42,29,12,1592520230227003,1,4.00,,0,0,1,6,99,7,5,2,1,5,2,0,1,0,0,1,1,99,,,,O,wd,1592520230227,7,,1592520230227001,,5,S:8AM-8PM,19380,02,,,,1208,7,1,1,172488,168688,,1,42,1,2,8,8,15AUG23:08:29,8850060101,8835280800,,,,,,64.753993109,2023021255wdS:8AM-8PM,,0,1592520230227003,03/03/2025
AMBERJACK GENUS,SAILFISH,2023021255wdS:8AM-8PM,2023112551592520230227,2023,5,42,29,12,1592520230227004,1,4.00,0.00,0,0,1,6,99,7,5,2,1,5,2,0,1,1,0,1,1,99,,,,O,wd,1592520230227,7,,1592520230227001,1,5,S:8AM-8PM,19380,02,0,1,,1208,7,1,1,172488,168688,,1,14,1,2,8,8,15AUG23:08:29,8850060101,8835280800,,,,,,64.753993109,2023021255wdS:8AM-8PM,,0,1592520230227004,03/03/2025
AMBERJACK GENUS,SAILFISH,2023021255wdS:8AM-8PM,2023112551592520230227,2023,5,42,29,12,1592520230227005,1,4.00,,0,0,1,6,99,7,5,2,1,5,2,0,1,0,0,1,1,99,,,,O,wd,1592520230227,7,,1592520230227001,,5,S:8AM-8PM,19380,02,,,,1208,7,1,1,172488,168688,,1,12,1,2,8,8,15AUG23:08:29,8850060101,8835280800,,,,,,64.753993109,2023021255wdS:8AM-8PM,,0,1592520230227005,03/03/2025
,LANE SNAPPER,2023021265weS:8AM-8PM,2023112651592620230225,2023,6,37,89,12,1592620230225004,1,4.00,0.00,0,0,1,6,3358,7,5,1,3,3,1,0,0,5,3,1,1,85,,,,O,we,1592620230225,3,,1592620230225004,1,6,S:8AM-8PM,28791,02,3,7,,1046,7,1,1,168860,,,1,69,2,2,2,2,15AUG23:08:29,8835360112,,,,,,,186.8717936,2023021265weS:8AM-8PM,,0,1592620230225004,03/03/2025
,LANE SNAPPER,2023021265weS:8AM-8PM,2023112651592620230225,2023,6,12,85,12,1592620230225005,1,4.00,0.00,8,0,1,6,3358,7,5,3,0,3,2,1,1,3,0,1,1,85,,,,Y,we,1592620230225,3,,1592620230225004,1,6,S:8AM-8PM,34994,02,0,6,MARTIN,1048,7,1,1,168860,,,2,66,2,2,8,8,15AUG23:08:29,8835360112,,,,,,,186.8717936,2023021265weS:8AM-8PM,,0,1592620230225004,03/03/2025
,LANE SNAPPER,2023021265weS:8AM-8PM,2023112651592620230225,2023,6,12,85,12,1592620230225006,1,4.00,0.00,0,0,1,6,3358,7,5,3,0,3,2,1,1,2,0,1,1,85,,,,Y,we,1592620230225,3,,1592620230225004,1,6,S:8AM-8PM,34994,02,0,5,MARTIN,1048,7,1,1,168860,,,2,64,2,2,8,8,15AUG23:08:29,8835360112,,,,,,,186.8717936,2023021265weS:8AM-8PM,,0,1592620230225004,03/03/2025
,,2023011265wdS:8AM-8PM,2023112651593120230126,2023,0,30,83,12,1593120230126006,1,4.00,0.00,0,0,1,6,1475,7,5,1,1,4,1,0,0,0,1,1,1,9,,,,O,wd,1593120230126,5,,1593120230126006,1,6,S:8AM-8PM,59221,01,1,0,,1305,7,1,1,,,,1,15,2,2,1,8,15AUG23:08:29,,,,,,,,172.90737208,2023011265wdS:8AM-8PM,,0,1593120230126006,03/03/2025
,,2023011265wdS:8AM-8PM,2023112651593120230126,2023,0,30,83,12,1593120230126007,1,4.00,0.00,0,0,1,6,1475,7,5,2,1,4,2,0,1,1,0,1,1,9,,,,O,wd,1593120230126,5,,1593120230126006,1,6,S:8AM-8PM,59221,01,,,,1305,7,1,1,,,,1,8,2,2,8,8,15AUG23:08:29,,,,,,,,172.90737208,2023011265wdS:8AM-8PM,,0,1593120230126007,03/03/2025
,,2023011265wdS:8AM-8PM,2023112651593120230126,2023,0,30,83,12,1593120230126008,1,4.00,,0,0,1,6,1475,7,5,2,1,4,2,0,1,0,0,1,1,9,,,,O,wd,1593120230126,5,,1593120230126006,,6,S:8AM-8PM,59221,01,,,,1305,7,1,1,,,,1,11,2,2,8,8,15AUG23:08:29,,,,,,,,172.90737208,2023011265wdS:8AM-8PM,,0,1593120230126008,03/03/2025
,,2023011265wdS:8AM-8PM,2023112651593120230126,2023,0,30,83,12,1593120230126009,1,4.00,,0,0,1,6,1475,7,5,2,1,4,2,0,1,0,0,1,1,9,,,,O,wd,1593120230126,5,,1593120230126006,,6,S:8AM-8PM,59221,01,,,,1305,7,1,1,,,,1,10,2,2,8,8,15AUG23:08:29,,,,,,,,172.90737208,2023011265wdS:8AM-8PM,,0,1593120230126009,03/03/2025
,,2023021265wdS:8AM-8PM,2023112651593120230215,2023,0,99,997,12,1593120230215001,1,4.00,0.00,0,0,1,6,1475,7,5,1,1,4,1,0,0,2,1,1,1,9,,,,O,wd,1593120230215,5,,1593120230215001,1,6,S:8AM-8PM,99997,02,1,0,,1201,7,1,1,,,,1,35,2,2,2,1,15AUG23:08:29,,,,,,,,188.72928033,2023021265wdS:8AM-8PM,,0,1593120230215001,03/03/2025
,,2023021265wdS:8AM-8PM,2023112651593120230215,2023,0,99,997,12,1593120230215002,1,4.00,0.00,0,0,1,6,1475,7,5,1,1,4,2,0,1,3,1,1,1,9,,,,O,wd,1593120230215,5,,1593120230215001,1,6,S:8AM-8PM,99997,02,1,0,,1205,7,1,1,,,,2,37,2,2,2,1,15AUG23:08:29,,,,,,,,188.72928033,2023021265wdS:8AM-8PM,,0,1593120230215002,03/03/2025
,,2023021265wdS:8AM-8PM,2023112651593120230215,2023,0,99,997,12,1593120230215003,1,4.00,0.00,0,0,1,6,1475,7,5,2,1,4,2,0,1,1,0,1,1,9,,,,O,wd,1593120230215,5,,1593120230215001,1,6,S:8AM-8PM,99997,02,,,,1205,7,1,1,,,,2,65,2,2,8,8,15AUG23:08:29,,,,,,,,188.72928033,2023021265wdS:8AM-8PM,,0,1593120230215003,03/03/2025
,,2023021265wdS:8AM-8PM,2023112651593120230215,2023,0,99,997,12,1593120230215004,1,4.00,0.00,0,0,1,6,1475,7,5,2,1,4,2,0,1,1,0,1,1,9,,,,O,wd,1593120230215,5,,1593120230215001,1,6,S:8AM-8PM,99997,02,,,,1219,7,1,1,,,,2,6,2,2,8,8,15AUG23:08:29,,,,,,,,188.72928033,2023021265wdS:8AM-8PM,,0,1593120230215004,03/03/2025
,REQUIEM SHARK FAMILY,2023021265weS:8AM-8PM,2023112651593120230224,2023,0,19,21,12,1593120230224011,1,2.50,,0,0,1,6,1475,7,5,2,1,6,1,0,0,0,0,1,1,9,,,,O,we,1593120230224,5,,1593120230224011,,6,S:8AM-8PM,50568,02,,,,1604,7,1,1,160178,,,1,16,2,2,8,8,15AUG23:08:29,8708020000,,,,,,,29.730696216,2023021265weS:8AM-8PM,,0,1593120230224011,03/03/2025
,REQUIEM SHARK FAMILY,2023021265weS:8AM-8PM,2023112651593120230224,2023,0,19,21,12,1593120230224012,1,2.50,0.00,0,0,1,6,1475,7,5,1,1,6,2,0,1,0,1,1,1,9,,,,O,we,1593120230224,5,,1593120230224011,1,6,S:8AM-8PM,50568,02,1,0,,1608,7,1,1,160178,,,1,17,2,2,1,8,15AUG23:08:29,8708020000,,,,,,,29.730696216,2023021265weS:8AM-8PM,,0,1593120230224012,03/03/2025
,REQUIEM SHARK FAMILY,2023021265weS:8AM-8PM,2023112651593120230224,2023,0,19,21,12,1593120230224013,1,2.50,,0,0,1,6,1475,7,5,2,1,6,2,0,1,0,0,1,1,9,,,,O,we,1593120230224,5,,1593120230224011,,6,S:8AM-8PM,50568,02,,,,1608,7,1,1,160178,,,2,17,2,2,8,8,15AUG23:08:29,8708020000,,,,,,,29.730696216,2023021265weS:8AM-8PM,,0,1593120230224013,03/03/2025
,REQUIEM SHARK FAMILY,2023021265weS:8AM-8PM,2023112651593120230224,2023,0,19,21,12,1593120230224014,1,2.50,,0,0,1,6,1475,7,5,2,1,6,2,0,1,0,0,1,1,9,,,,O,we,1593120230224,5,,1593120230224011,,6,S:8AM-8PM,50568,02,,,,1608,7,1,1,160178,,,2,41,2,1,8,8,15AUG23:08:29,8708020000,,,,,,,29.730696216,2023021265weS:8AM-8PM,,0,1593120230224014,03/03/2025
,REQUIEM SHARK FAMILY,2023021265weS:8AM-8PM,2023112651593120230224,2023,0,19,21,12,1593120230224015,1,2.50,,0,0,1,6,1475,7,5,2,1,6,2,0,1,0,0,1,1,9,,,,O,we,1593120230224,5,,1593120230224011,,6,S:8AM-8PM,50568,02,,,,1608,7,1,1,160178,,,1,42,2,2,8,8,15AUG23:08:29,8708020000,,,,,,,29.730696216,2023021265weS:8AM-8PM,,0,1593120230224015,03/03/2025
,REQUIEM SHARK FAMILY,2023021265weS:8AM-8PM,2023112651593120230224,2023,0,19,21,12,1593120230224016,1,2.50,0.00,0,0,1,6,1475,7,5,1,1,6,2,0,1,0,1,1,1,9,,,,O,we,1593120230224,5,,1593120230224011,1,6,S:8AM-8PM,50568,02,1,0,,1608,7,1,1,160178,,,1,73,2,2,1,8,15AUG23:08:29,8708020000,,,,,,,29.730696216,2023021265weS:8AM-8PM,,0,1593120230224016,03/03/2025
,,2023021265weS:8AM-8PM,2023112651593120230226,2023,6,12,9,12,1593120230226002,1,5.00,0.00,0,0,1,6,950,7,5,1,2,2,1,0,0,5,4,1,2,61,,,,Y,we,1593120230226,7,,1593120230226002,1,6,S:8AM-8PM,32940,02,4,0,BREVARD,1244,7,1,1,,,,1,25,2,1,2,2,15AUG23:08:29,,,,,,,,310.47297475,2023021265weS:8AM-8PM,,0,1593120230226002,03/03/2025
,,2023021265weS:8AM-8PM,2023112651593120230226,2023,6,12,9,12,1593120230226003,1,5.00,0.00,0,0,1,6,950,7,5,3,0,2,2,1,1,4,0,1,2,61,,,,Y,we,1593120230226,7,,1593120230226002,1,6,S:8AM-8PM,32940,02,,,BREVARD,1244,7,1,1,,,,2,24,2,2,8,8,15AUG23:08:29,,,,,,,,310.47297475,2023021265weS:8AM-8PM,,0,1593120230226002,03/03/2025
,SAILFISH,2023021255wdS:8AM-8PM,2023112551594020230214,2023,5,11,1,12,1594020230214001,1,4.00,0.00,0,0,1,6,8,7,5,1,1,3,1,0,0,1,1,1,1,99,,,,O,wd,1594020230214,5,,1594020230214001,1,5,S:8AM-8PM,20105,02,1,0,,1122,7,1,1,172488,,,1,42,2,1,1,8,15AUG23:08:29,8850060101,,,,,,,108.28151669,2023021255wdS:8AM-8PM,,0,1594020230214001,03/03/2025
,SAILFISH,2023021255wdS:8AM-8PM,2023112551594020230214,2023,5,11,1,12,1594020230214002,1,4.00,0.00,0,0,1,6,8,7,5,1,1,3,2,0,1,0,1,1,1,99,,,,O,wd,1594020230214,5,,1594020230214001,1,5,S:8AM-8PM,20105,02,1,0,,1145,7,1,1,172488,,,2,40,2,2,1,8,15AUG23:08:29,8850060101,,,,,,,108.28151669,2023021255wdS:8AM-8PM,,0,1594020230214002,03/03/2025
,SAILFISH,2023021255wdS:8AM-8PM,2023112551594020230214,2023,5,11,1,12,1594020230214003,1,4.00,0.00,0,0,1,6,8,7,5,2,1,3,2,0,1,1,0,1,1,99,,,,O,wd,1594020230214,5,,1594020230214001,1,5,S:8AM-8PM,20105,02,,,,1145,7,1,1,172488,,,1,13,2,2,8,8,15AUG23:08:29,8850060101,,,,,,,108.28151669,2023021255wdS:8AM-8PM,,0,1594020230214003,03/03/2025
TUNA GENUS,WAHOO,2023021255wdS:8AM-8PM,2023112551594020230214,2023,4,25,23,12,1594020230214011,1,8.00,0.00,0,0,1,6,8,7,5,1,2,2,1,0,0,3,3,1,1,99,,,,O,wd,1594020230214,5,,1594020230214011,1,5,S:8AM-8PM,02360,02,3,0,PLYMOUTH,1544,7,1,1,172451,172418,,1,40,1,1,2,2,15AUG23:08:29,8850030601,8850030400,,,,,,38.445446033,2023021255wdS:8AM-8PM,,0,1594020230214011,03/03/2025
TUNA GENUS,WAHOO,2023021255wdS:8AM-8PM,2023112551594020230214,2023,4,25,23,12,1594020230214012,1,8.00,0.00,0,0,1,6,8,7,5,3,0,2,2,1,1,3,0,1,1,99,,,,O,wd,1594020230214,5,,1594020230214011,1,5,S:8AM-8PM,02360,02,,,PLYMOUTH,1545,7,1,1,172451,172418,,1,16,1,2,8,8,15AUG23:08:29,8850030601,8850030400,,,,,,38.445446033,2023021255wdS:8AM-8PM,,0,1594020230214011,03/03/2025
SAILFISH,WAHOO,2023021255wdS:8AM-8PM,2023112551594020230214,2023,0,17,93,12,1594020230214013,1,4.00,0.00,0,0,1,6,8,7,5,1,5,6,1,0,0,1,5,1,1,99,,,,O,wd,1594020230214,5,,1594020230214013,1,5,S:8AM-8PM,60543,02,5,0,,1644,7,1,1,172451,172488,,1,33,2,1,2,2,15AUG23:08:29,8850030601,8850060101,,,,,,38.445446033,2023021255wdS:8AM-8PM,,0,1594020230214013,03/03/2025
SAILFISH,WAHOO,2023021255wdS:8AM-8PM,2023112551594020230214,2023,0,17,89,12,1594020230214014,1,4.00,,0,0,1,6,8,7,5,3,0,6,2,1,1,0,0,1,1,99,,,,O,wd,1594020230214,5,,1594020230214013,,5,S:8AM-8PM,60175,02,,,,1645,7,1,1,172451,172488,,1,23,2,2,8,8,15AUG23:08:29,8850030601,8850060101,,,,,,38.445446033,2023021255wdS:8AM-8PM,,0,1594020230214013,03/03/2025
SAILFISH,WAHOO,2023021255wdS:8AM-8PM,2023112551594020230214,2023,0,17,89,12,1594020230214015,1,4.00,,0,0,1,6,8,7,5,3,0,6,2,1,1,0,0,1,1,99,,,,O,wd,1594020230214,5,,1594020230214013,,5,S:8AM-8PM,60175,02,,,,1645,7,1,1,172451,172488,,1,,2,2,8,8,15AUG23:08:29,8850030601,8850060101,,,,,,38.445446033,2023021255wdS:8AM-8PM,,0,1594020230214013,03/03/2025
SAILFISH,WAHOO,2023021255wdS:8AM-8PM,2023112551594020230214,2023,0,17,89,12,1594020230214016,1,4.00,,0,0,1,6,8,7,5,3,0,6,2,1,1,0,0,1,1,99,,,,O,wd,1594020230214,5,,1594020230214013,,5,S:8AM-8PM,60175,02,,,,1645,7,1,1,172451,172488,,2,29,2,2,8,8,15AUG23:08:29,8850030601,8850060101,,,,,,38.445446033,2023021255wdS:8AM-8PM,,0,1594020230214013,03/03/2025
SAILFISH,WAHOO,2023021255wdS:8AM-8PM,2023112551594020230214,2023,0,17,89,12,1594020230214017,1,4.00,,0,0,1,6,8,7,5,2,1,6,2,0,1,0,0,1,1,99,,,,O,wd,1594020230214,5,,1594020230214013,,5,S:8AM-8PM,60175,02,,,,1645,7,1,1,172451,172488,,2,11,2,2,8,8,15AUG23:08:29,8850030601,8850060101,,,,,,38.445446033,2023021255wdS:8AM-8PM,,0,1594020230214017,03/03/2025
SAILFISH,WAHOO,2023021255wdS:8AM-8PM,2023112551594020230214,2023,0,17,89,12,1594020230214018,1,4.00,,0,0,1,6,8,7,5,3,0,6,2,1,1,0,0,1,1,99,,,,O,wd,1594020230214,5,,1594020230214013,,5,S:8AM-8PM,60175,02,,,,1645,7,1,1,172451,172488,,2,32,2,2,8,8,15AUG23:08:29,8850030601,8850060101,,,,,,38.445446033,2023021255wdS:8AM-8PM,,0,1594020230214013,03/03/2025
SAILFISH,SNAPPER FAMILY,2023011255weS:8AM-8PM,2023112551594520230120,2023,6,12,99,12,1594520230120001,1,5.00,0.00,1,0,1,6,134,7,5,1,2,4,1,0,0,1,2,1,1,86,,,,Y,we,1594520230120,5,,1594520230120001,1,5,S:8AM-8PM,33428,01,2,5,PALM BEACH,1337,7,1,1,168845,172488,,1,71,2,2,2,2,15AUG23:08:29,8835360000,8850060101,,,,,,27.551707815,2023011255weS:8AM-8PM,,0,1594520230120001,03/03/2025
SAILFISH,SNAPPER FAMILY,2023011255weS:8AM-8PM,2023112551594520230120,2023,6,12,99,12,1594520230120002,1,5.00,0.00,2,0,1,6,134,7,5,2,1,4,2,0,1,1,0,1,1,86,,,,Y,we,1594520230120,5,,1594520230120001,1,5,S:8AM-8PM,33477,01,0,5,PALM BEACH,1338,7,1,1,168845,172488,,1,72,2,2,8,8,15AUG23:08:29,8835360000,8850060101,,,,,,27.551707815,2023011255weS:8AM-8PM,,0,1594520230120002,03/03/2025
SAILFISH,SNAPPER FAMILY,2023011255weS:8AM-8PM,2023112551594520230120,2023,6,12,99,12,1594520230120003,1,5.00,0.00,3,0,1,6,134,7,5,2,1,4,2,0,1,1,0,1,1,86,,,,Y,we,1594520230120,5,,1594520230120001,1,5,S:8AM-8PM,33428,01,0,5,PALM BEACH,1338,7,1,1,168845,172488,,1,65,2,2,8,8,15AUG23:08:29,8835360000,8850060101,,,,,,27.551707815,2023011255weS:8AM-8PM,,0,1594520230120003,03/03/2025
SAILFISH,SNAPPER FAMILY,2023011255weS:8AM-8PM,2023112551594520230120,2023,1,6,73,12,1594520230120004,1,5.00,0.00,0,0,1,6,134,7,5,3,0,4,2,1,1,2,0,1,1,86,,,,O,we,1594520230120,5,,1594520230120001,1,5,S:8AM-8PM,92104,01,0,5,SAN DIEGO,1339,7,1,1,168845,172488,,1,38,2,1,8,8,15AUG23:08:29,8835360000,8850060101,,,,,,27.551707815,2023011255weS:8AM-8PM,,0,1594520230120001,03/03/2025
,,2023021255weS:8AM-8PM,2023112551594520230203,2023,6,45,7,12,1594520230203001,1,6.00,,2,0,1,6,946,7,5,2,1,2,1,0,0,0,0,1,1,86,,,,O,we,1594520230203,5,,1594520230203001,,5,S:8AM-8PM,29654,02,,,,1501,7,1,1,,,,1,43,1,1,8,8,15AUG23:08:29,,,,,,,,42.618723809,2023021255weS:8AM-8PM,,0,1594520230203001,03/03/2025
,,2023021255weS:8AM-8PM,2023112551594520230203,2023,6,45,7,12,1594520230203002,1,6.00,0.00,4,0,1,6,946,7,5,1,1,2,2,0,1,0,1,1,1,86,,,,O,we,1594520230203,5,,1594520230203001,1,5,S:8AM-8PM,29654,02,1,0,,1501,7,1,1,,,,1,42,1,2,1,8,15AUG23:08:29,,,,,,,,42.618723809,2023021255weS:8AM-8PM,,0,1594520230203002,03/03/2025
,,2023021255weS:8AM-8PM,2023112551594520230203,2023,0,20,169,12,1594520230203003,1,4.00,0.00,4,3,1,6,946,7,5,1,1,3,1,0,0,0,1,1,1,86,,,,O,we,1594520230203,5,,1594520230203003,1,5,S:8AM-8PM,67401,02,1,0,,1640,7,1,1,,,,2,61,1,1,1,8,15AUG23:08:29,,,,,,,,42.618723809,2023021255weS:8AM-8PM,,0,1594520230203003,03/03/2025
,,2023021255weS:8AM-8PM,2023112551594520230203,2023,0,20,169,12,1594520230203004,1,4.00,0.00,0,0,1,6,946,7,5,1,1,3,2,0,1,0,1,1,1,86,,,,O,we,1594520230203,5,,1594520230203003,1,5,S:8AM-8PM,67401,02,1,0,,1640,7,1,1,,,,2,56,1,2,1,8,15AUG23:08:29,,,,,,,,42.618723809,2023021255weS:8AM-8PM,,0,1594520230203004,03/03/2025
,,2023021255weS:8AM-8PM,2023112551594520230203,2023,0,20,169,12,1594520230203005,1,4.00,0.00,0,0,1,6,946,7,5,1,1,3,2,0,1,1,1,1,1,86,,,,O,we,1594520230203,5,,1594520230203003,1,5,S:8AM-8PM,67401,02,1,0,,1641,7,1,1,,,,2,57,1,2,1,8,15AUG23:08:29,,,,,,,,42.618723809,2023021255weS:8AM-8PM,,0,1594520230203005,03/03/2025
,,2023021255weS:8AM-8PM,2023112551594520230203,2023,4,9,9,12,1594520230203006,1,5.00,0.00,0,0,1,6,946,7,5,1,9,9,1,0,0,0,9,1,1,86,,,,O,we,1594520230203,5,,1594520230203006,1,5,S:8AM-8PM,06418,02,9,0,NEW HAVEN,1741,7,1,1,,,,1,29,2,2,2,2,15AUG23:08:29,,,,,,,,168.98185092,2023021255weS:8AM-8PM,,0,1594520230203006,03/03/2025
